DATE,GBP3MTD156N
2017-01-05,0.37288
2017-01-06,0.3695
2017-01-09,0.36888
2017-01-10,0.36138
2017-01-11,0.36013
2017-01-12,0.3585
2017-01-13,0.3585
2017-01-16,0.35663
2017-01-17,0.35663
2017-01-18,0.3565
2017-01-19,0.35525
2017-01-20,0.35963
2017-01-23,0.36119
2017-01-24,0.36338
2017-01-25,0.36463
2017-01-26,0.36338
2017-01-27,0.35713
2017-01-30,0.35713
2017-01-31,0.35588
2017-02-01,0.35588
2017-02-02,0.35463
2017-02-03,0.35213
2017-02-06,0.354
2017-02-07,0.35681
2017-02-08,0.35863
2017-02-09,0.36113
2017-02-10,0.36206
2017-02-13,0.36206
2017-02-14,0.35806
2017-02-15,0.35806
2017-02-16,0.35806
2017-02-17,0.35838
2017-02-20,0.35588
2017-02-21,0.35588
2017-02-22,0.35431
2017-02-23,0.35431
2017-02-24,0.35431
2017-02-27,0.35369
2017-02-28,0.3565
2017-03-01,0.35025
2017-03-02,0.354
2017-03-03,0.35556
2017-03-06,0.35619
2017-03-07,0.35556
2017-03-08,0.35206
2017-03-09,0.34675
2017-03-10,0.34675
2017-03-13,0.34375
2017-03-14,0.34263
2017-03-15,0.34388
2017-03-16,0.345
2017-03-17,0.34438
2017-03-20,0.34181
2017-03-21,0.34313
2017-03-22,0.34288
2017-03-23,0.34288
2017-03-24,0.34131
2017-03-27,0.34475
2017-03-28,0.34163
2017-03-29,0.34038
2017-03-30,0.33744
2017-03-31,0.33744
2017-04-03,0.33931
2017-04-04,0.33531
2017-04-05,0.33619
2017-04-06,0.33881
2017-04-07,0.33844
2017-04-10,0.33813
2017-04-11,0.33975
2017-04-12,0.33881
2017-04-13,0.33931
2017-04-14,.
2017-04-17,.
2017-04-18,0.33556
2017-04-19,0.33681
2017-04-20,0.33588
2017-04-21,0.33525
2017-04-24,0.334
2017-04-25,0.32875
2017-04-26,0.3245
2017-04-27,0.324
2017-04-28,0.32525
2017-05-01,.
2017-05-02,0.32369
2017-05-03,0.32181
2017-05-04,0.32306
2017-05-05,0.32119
2017-05-08,0.31963
2017-05-09,0.31838
2017-05-10,0.31463
2017-05-11,0.31463
2017-05-12,0.314
2017-05-15,0.31525
2017-05-16,0.31244
2017-05-17,0.31119
2017-05-18,0.30681
2017-05-19,0.30431
2017-05-22,0.30369
2017-05-23,0.30431
2017-05-24,0.30244
2017-05-25,0.30244
2017-05-26,0.29963
2017-05-29,.
2017-05-30,0.2965
2017-05-31,0.29381
2017-06-01,0.29256
2017-06-02,0.29163
2017-06-05,0.29288
2017-06-06,0.29094
2017-06-07,0.29019
2017-06-08,0.28994
2017-06-09,0.28994
2017-06-12,0.28869
2017-06-13,0.28994
2017-06-14,0.28994
2017-06-15,0.28869
2017-06-16,0.29556
2017-06-19,0.29681
2017-06-20,0.28706
2017-06-21,0.28606
2017-06-22,0.29956
2017-06-23,0.303
2017-06-26,0.30038
2017-06-27,0.30025
2017-06-28,0.29994
2017-06-29,0.30669
2017-06-30,0.30669
2017-07-03,0.30388
2017-07-04,0.30144
2017-07-05,0.30363
2017-07-06,0.30088
2017-07-07,0.29838
2017-07-10,0.29656
2017-07-11,0.29713
2017-07-12,0.29469
2017-07-13,0.29594
2017-07-14,0.29344
2017-07-17,0.29469
2017-07-18,0.28844
2017-07-19,0.28844
2017-07-20,0.28806
2017-07-21,0.28838
2017-07-24,0.28931
2017-07-25,0.28681
2017-07-26,0.28713
2017-07-27,0.28588
2017-07-28,0.28588
2017-07-31,0.28613
2017-08-01,0.28544
2017-08-02,0.28806
2017-08-03,0.29063
2017-08-04,0.27838
2017-08-07,0.28213
2017-08-08,0.28338
2017-08-09,0.28213
2017-08-10,0.28213
2017-08-11,0.28088
2017-08-14,0.27963
2017-08-15,0.27963
2017-08-16,0.27963
2017-08-17,0.28088
2017-08-18,0.27775
2017-08-21,0.2815
2017-08-22,0.2815
2017-08-23,0.27994
2017-08-24,0.27994
2017-08-25,0.28025
2017-08-28,.
2017-08-29,0.27838
2017-08-30,0.27744
2017-08-31,0.27744
2017-09-01,0.2765
2017-09-04,0.27681
2017-09-05,0.27781
2017-09-06,0.28281
2017-09-07,0.28575
2017-09-08,0.2855
2017-09-11,0.28669
2017-09-12,0.29231
2017-09-13,0.30219
2017-09-14,0.3015
2017-09-15,0.32688
2017-09-18,0.33256
2017-09-19,0.33113
2017-09-20,0.3265
2017-09-21,0.32938
2017-09-22,0.32688
2017-09-25,0.32588
2017-09-26,0.32588
2017-09-27,0.32975
2017-09-28,0.3335
2017-09-29,0.335
2017-10-02,0.33563
2017-10-03,0.33563
2017-10-04,0.33938
2017-10-05,0.3435
2017-10-06,0.3435
2017-10-09,0.35438
2017-10-10,0.36275
2017-10-11,0.37063
2017-10-12,0.37
2017-10-13,0.37375
2017-10-16,0.37875
2017-10-17,0.38375
2017-10-18,0.38313
2017-10-19,0.39173
2017-10-20,0.39141
2017-10-23,0.39976
2017-10-24,0.4043
2017-10-25,0.41632
2017-10-26,0.4224
2017-10-27,0.42786
2017-10-30,0.43306
2017-10-31,0.4396
2017-11-01,0.45075
2017-11-02,0.465
2017-11-03,0.52413
2017-11-06,0.52688
2017-11-07,0.52322
2017-11-08,0.52519
2017-11-09,0.52813
2017-11-10,0.52813
2017-11-13,0.52875
2017-11-14,0.526
2017-11-15,0.52625
2017-11-16,0.52525
2017-11-17,0.5255
2017-11-20,0.52575
2017-11-21,0.52263
2017-11-22,0.52263
2017-11-23,0.52263
2017-11-24,0.523
2017-11-27,0.523
2017-11-28,0.523
2017-11-29,0.52138
2017-11-30,0.52138
2017-12-01,0.51975
2017-12-04,0.522
2017-12-05,0.522
2017-12-06,0.52006
2017-12-07,0.52219
2017-12-08,0.52306
2017-12-11,0.52275
2017-12-12,0.52244
2017-12-13,0.51963
2017-12-14,0.51838
2017-12-15,0.51619
2017-12-18,0.51281
2017-12-19,0.51344
2017-12-20,0.51563
2017-12-21,0.51688
2017-12-22,0.51531
2017-12-25,.
2017-12-26,.
2017-12-27,0.5175
2017-12-28,0.52125
2017-12-29,0.52106
2018-01-01,.
2018-01-02,0.51906
2018-01-03,0.51844
2018-01-04,0.5175
2018-01-05,0.52125
2018-01-08,0.52081
2018-01-09,0.52131
2018-01-10,0.52269
2018-01-11,0.51944
2018-01-12,0.51988
2018-01-15,0.52125
2018-01-16,0.52156
2018-01-17,0.52113
2018-01-18,0.52194
2018-01-19,0.5235
2018-01-22,0.52294
2018-01-23,0.52538
2018-01-24,0.52756
2018-01-25,0.52819
2018-01-26,0.52794
2018-01-29,0.52794
2018-01-30,0.5245
2018-01-31,0.52231
2018-02-01,0.52231
2018-02-02,0.52547
2018-02-05,0.52294
2018-02-06,0.52409
2018-02-07,0.52865
2018-02-08,0.53017
2018-02-09,0.5352
2018-02-12,0.53569
2018-02-13,0.53987
2018-02-14,0.54388
2018-02-15,0.54663
2018-02-16,0.54444
2018-02-19,0.54975
2018-02-20,0.55319
2018-02-21,0.55563
2018-02-22,0.5635
2018-02-23,0.57281
2018-02-26,0.58006
2018-02-27,0.58063
2018-02-28,0.58163
2018-03-01,0.57944
2018-03-02,0.5847
2018-03-05,0.58893
2018-03-06,0.59623
2018-03-07,0.60106
2018-03-08,0.59994
2018-03-09,0.60132
2018-03-12,0.60206
2018-03-13,0.6035
2018-03-14,0.60487
2018-03-15,0.60591
2018-03-16,0.60904
2018-03-19,0.61432
2018-03-20,0.62408
2018-03-21,0.6355
2018-03-22,0.6515
2018-03-23,0.65688
2018-03-26,0.6675
2018-03-27,0.68306
2018-03-28,0.69188
2018-03-29,0.7118
2018-03-30,.
2018-04-02,.
2018-04-03,0.72287
2018-04-04,0.74286
2018-04-05,0.75248
2018-04-06,0.75662
2018-04-09,0.76315
2018-04-10,0.76422
2018-04-11,0.7684
2018-04-12,0.7741
2018-04-13,0.78049
2018-04-16,0.78588
2018-04-17,0.78607
2018-04-18,0.78317
2018-04-19,0.79022
2018-04-20,0.75434
2018-04-23,0.75115
2018-04-24,0.75437
2018-04-25,0.75855
2018-04-26,0.75816
2018-04-27,0.71291
2018-04-30,0.71034
2018-05-01,0.70636
2018-05-02,0.70053
2018-05-03,0.68725
2018-05-04,0.67289
2018-05-07,.
2018-05-08,0.67335
2018-05-09,0.68379
2018-05-10,0.67173
2018-05-11,0.64612
2018-05-14,0.64787
2018-05-15,0.64031
2018-05-16,0.62688
2018-05-17,0.62344
2018-05-18,0.62344
2018-05-21,0.62281
2018-05-22,0.6225
2018-05-23,0.619
2018-05-24,0.61406
2018-05-25,0.61067
2018-05-28,.
2018-05-29,0.60887
2018-05-30,0.60478
2018-05-31,0.61149
2018-06-01,0.61743
2018-06-04,0.62329
2018-06-05,0.62799
2018-06-06,0.62633
2018-06-07,0.63283
2018-06-08,0.62721
2018-06-11,0.62469
2018-06-12,0.62919
2018-06-13,0.627
2018-06-14,0.62794
2018-06-15,0.63075
2018-06-18,0.63075
2018-06-19,0.6285
2018-06-20,0.62863
2018-06-21,0.63575
2018-06-22,0.65925
2018-06-25,0.664
2018-06-26,0.66438
2018-06-27,0.66413
2018-06-28,0.66813
2018-06-29,0.67413
2018-07-02,0.67975
2018-07-03,0.68825
2018-07-04,0.695
2018-07-05,0.7065
2018-07-06,0.7125
2018-07-09,0.71875
2018-07-10,0.71988
2018-07-11,0.72263
2018-07-12,0.73088
2018-07-13,0.73681
2018-07-16,0.75306
2018-07-17,0.75619
2018-07-18,0.75306
2018-07-19,0.758
2018-07-20,0.75888
2018-07-23,0.77438
2018-07-24,0.78225
2018-07-25,0.79163
2018-07-26,0.79675
2018-07-27,0.78888
2018-07-30,0.79388
2018-07-31,0.79825
2018-08-01,0.80213
2018-08-02,0.8065
2018-08-03,0.8095
2018-08-06,0.80988
2018-08-07,0.80638
2018-08-08,0.806
2018-08-09,0.80663
2018-08-10,0.8055
2018-08-13,0.80875
2018-08-14,0.80375
2018-08-15,0.80175
2018-08-16,0.8045
2018-08-17,0.80413
2018-08-20,0.8045
2018-08-21,0.80438
2018-08-22,0.80588
2018-08-23,0.80575
2018-08-24,0.80563
2018-08-27,.
2018-08-28,0.80638
2018-08-29,0.80356
2018-08-30,0.80181
2018-08-31,0.8005
2018-09-03,0.80025
2018-09-04,0.79944
2018-09-05,0.801
2018-09-06,0.8035
2018-09-07,0.80225
2018-09-10,0.80225
2018-09-11,0.80113
2018-09-12,0.80113
2018-09-13,0.79975
2018-09-14,0.79756
2018-09-17,0.79731
2018-09-18,0.80031
2018-09-19,0.80069
2018-09-20,0.80444
2018-09-21,0.804
2018-09-24,0.8015
2018-09-25,0.80231
2018-09-26,0.80119
2018-09-27,0.79844
2018-09-28,0.80025
2018-10-01,0.79938
2018-10-02,0.80138
2018-10-03,0.79675
2018-10-04,0.79994
2018-10-05,0.80244
2018-10-08,0.80219
2018-10-09,0.80513
2018-10-10,0.8045
2018-10-11,0.80844
2018-10-12,0.81056
2018-10-15,0.81288
2018-10-16,0.81025
2018-10-17,0.80344
2018-10-18,0.80381
2018-10-19,0.8035
2018-10-22,0.80463
2018-10-23,0.80438
2018-10-24,0.80806
2018-10-25,0.80869
2018-10-26,0.81019
2018-10-29,0.81413
2018-10-30,0.81075
2018-10-31,0.81675
2018-11-01,0.82588
2018-11-02,0.82813
2018-11-05,0.8385
2018-11-06,0.84563
2018-11-07,0.85456
2018-11-08,0.85625
2018-11-09,0.86681
2018-11-12,0.87581
2018-11-13,0.87681
2018-11-14,0.885
2018-11-15,0.8865
2018-11-16,0.88781
2018-11-19,0.88875
2018-11-20,0.88938
2018-11-21,0.88825
2018-11-22,0.89425
2018-11-23,0.889
2018-11-26,0.89213
2018-11-27,0.89175
2018-11-28,0.89356
2018-11-29,0.89819
2018-11-30,0.89338
2018-12-03,0.89556
2018-12-04,0.89519
2018-12-05,0.89756
2018-12-06,0.90169
2018-12-07,0.9065
2018-12-10,0.907
2018-12-11,0.90044
2018-12-12,0.90263
2018-12-13,0.9
2018-12-14,0.90088
2018-12-17,0.90638
2018-12-18,0.906
2018-12-19,0.913
2018-12-20,0.90838
2018-12-21,0.90994
2018-12-24,0.90706
2018-12-25,.
2018-12-26,.
2018-12-27,0.90331
2018-12-28,0.90506
2018-12-31,0.91244
2019-01-01,.
2019-01-02,0.90994
2019-01-03,0.90919
2019-01-04,0.90538
2019-01-07,0.90225
2019-01-08,0.90656
2019-01-09,0.90419
2019-01-10,0.91763
2019-01-11,0.91969
2019-01-14,0.92156
2019-01-15,0.92794
2019-01-16,0.92356
2019-01-17,0.92744
2019-01-18,0.9275
2019-01-21,0.92488
2019-01-22,0.92475
2019-01-23,0.91913
2019-01-24,0.92563
2019-01-25,0.91938
2019-01-28,0.923
2019-01-29,0.93088
2019-01-30,0.92413
2019-01-31,0.912
2019-02-01,0.9135
2019-02-04,0.91675
2019-02-05,0.91538
2019-02-06,0.90338
2019-02-07,0.89688
2019-02-08,0.88275
2019-02-11,0.875
2019-02-12,0.86825
2019-02-13,0.86963
2019-02-14,0.86725
2019-02-15,0.86988
2019-02-18,0.86875
2019-02-19,0.86638
2019-02-20,0.85863
2019-02-21,0.86475
2019-02-22,0.85925
2019-02-25,0.85975
2019-02-26,0.85663
2019-02-27,0.85488
2019-02-28,0.852
2019-03-01,0.85275
2019-03-04,0.84925
2019-03-05,0.84775
2019-03-06,0.84438
2019-03-07,0.84313
2019-03-08,0.846
2019-03-11,0.8425
2019-03-12,0.845
2019-03-13,0.84263
2019-03-14,0.84325
2019-03-15,0.84463
2019-03-18,0.846
2019-03-19,0.83963
2019-03-20,0.83713
2019-03-21,0.83871
2019-03-22,0.83038
2019-03-25,0.83238
2019-03-26,0.83625
2019-03-27,0.8355
2019-03-28,0.83325
2019-03-29,0.84838
2019-04-01,0.84088
2019-04-02,0.83038
2019-04-03,0.83763
2019-04-04,0.82938
2019-04-05,0.8185
2019-04-08,0.81813
2019-04-09,0.82175
2019-04-10,0.824
2019-04-11,0.82763
2019-04-12,0.82888
2019-04-15,0.82088
2019-04-16,0.82175
2019-04-17,0.8265
2019-04-18,0.822
2019-04-19,.
2019-04-22,.
2019-04-23,0.82275
2019-04-24,0.82163
2019-04-25,0.82525
2019-04-26,0.825
2019-04-29,0.81875
2019-04-30,0.81688
2019-05-01,0.81925
2019-05-02,0.81375
2019-05-03,0.81238
2019-05-06,.
2019-05-07,0.809
2019-05-08,0.81038
2019-05-09,0.80963
2019-05-10,0.805
2019-05-13,0.8045
2019-05-14,0.80463
2019-05-15,0.80638
2019-05-16,0.80363
2019-05-17,0.80375
2019-05-20,0.80425
2019-05-21,0.80325
2019-05-22,0.79888
2019-05-23,0.79575
2019-05-24,0.79563
2019-05-27,.
2019-05-28,0.7945
2019-05-29,0.794
2019-05-30,0.796
2019-05-31,0.79588
2019-06-03,0.79725
2019-06-04,0.79263
2019-06-05,0.79575
2019-06-06,0.78563
2019-06-07,0.7825
2019-06-10,0.78563
2019-06-11,0.788
2019-06-12,0.79275
2019-06-13,0.789
2019-06-14,0.7875
2019-06-17,0.78613
2019-06-18,0.78138
2019-06-19,0.7815
2019-06-20,0.78413
2019-06-21,0.77488
2019-06-24,0.77275
2019-06-25,0.772
2019-06-26,0.76938
2019-06-27,0.76875
2019-06-28,0.77375
2019-07-01,0.77975
2019-07-02,0.77663
2019-07-03,0.7605
2019-07-04,0.762
2019-07-05,0.76175
2019-07-08,0.76263
2019-07-09,0.77125
